id,title,keywords,cast,genres,director
49013,Cars 2,car race sequel comedy anthropomorphism best friend,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,Animation Family Adventure Comedy,John Lasseter
44912,Green Lantern,dc comics transformation superhero alien alien infection,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Adventure Action Thriller Science Fiction,Martin Campbell
10193,Toy Story 3,hostage college toy barbie animation,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Animation Family Comedy,Lee Unkrich
534,Terminator Salvation,saving the world artificial intelligence prophecy san francisco cyborg,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,Action Science Fiction Thriller,McG
168259,Furious 7,car race speed revenge suspense car,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,Action,James Wan
72190,World War Z,dystopia apocalypse zombie nuclear weapons multiple perspectives,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Action Drama Horror Science Fiction Thriller,Marc Forster
127585,X-Men: Days of Future Past,1970s mutant time travel marvel comic based on comic book,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Action Adventure Fantasy Science Fiction,Bryan Singer
54138,Star Trek Into Darkness,spacecraft friendship sequel futuristic space,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,Action Adventure Science Fiction,J.J. Abrams
81005,Jack the Giant Slayer,based on fairy tale giant,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Action Family Fantasy,Bryan Singer
64682,The Great Gatsby,based on novel infidelity obsession hope 3d,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Drama Romance,Baz Luhrmann
9543,Prince of Persia: The Sands of Time,persia sandstorm brother against brother armageddon regent,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Adventure Fantasy Action Romance,Mike Newell
68726,Pacific Rim,dystopia giant robot giant monster apocalypse imax,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Action Science Fiction Adventure,Guillermo del Toro
38356,Transformers: Dark of the Moon,moon spacecraft traitor bodyguard alien planet,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Action Science Fiction Adventure,Michael Bay
217,Indiana Jones and the Kingdom of the Crystal Skull,saving the world riddle whip treasure mexico city,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Adventure Action,Steven Spielberg
105864,The Good Dinosaur,tyrannosaurus rex friends alternate history dinosaur fear,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Adventure Animation Family,Peter Sohn
62177,Brave,scotland rebel bravery kingdom archer,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Animation Adventure Comedy Family Action,Brenda Chapman
188927,Star Trek Beyond,sequel stranded hatred space opera,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Action Adventure Science Fiction,Justin Lin
10681,WALL·E,romantic comedy,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Animation Family,Andrew Stanton
5174,Rush Hour 3,ambassador,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Action Comedy Crime Thriller,Brett Ratner
14161,2012,civilization natural disaster end of the world disaster apocalypse,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Action Adventure Science Fiction,Roland Emmerich
17979,A Christmas Carol,holiday based on novel victorian england money christmas eve,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Animation Drama,Robert Zemeckis
76757,Jupiter Ascending,jupiter space woman director 3d interspecies romance,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Science Fiction Fantasy Action Adventure,Lilly Wachowski
258489,The Legend of Tarzan,africa feral child tarzan jungle animal attack,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,Action Adventure,David Yates
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",saving the world witch based on novel brother sister relationship self sacrifice,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Adventure Family Fantasy,Andrew Adamson
246655,X-Men: Apocalypse,mutant supernatural powers marvel comic superhero based on comic book,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Science Fiction,Bryan Singer
155,The Dark Knight,dc comics crime fighter secret identity scarecrow sadism,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Drama Action Crime Thriller,Christopher Nolan
14160,Up,age difference central and south america balloon animation floating in the air,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Animation Comedy Family Adventure,Pete Docter
15512,Monsters vs Aliens,alien giant robot duringcreditsstinger,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Animation Family Adventure Science Fiction,Conrad Vernon
1726,Iron Man,middle east arms dealer malibu marvel comic superhero,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Action Science Fiction Adventure,Jon Favreau
44826,Hugo,library clock film director key toy,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Adventure Drama Family,Martin Scorsese
8487,Wild Wild West,steampunk based on tv series steam locomotive drag,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Action Adventure Comedy Science Fiction Western,Barry Sonnenfeld
1735,The Mummy: Tomb of the Dragon Emperor,,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Adventure Action Fantasy,Rob Cohen
297761,Suicide Squad,dc comics shared universe anti hero secret mission villain,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,Action Adventure Crime Fantasy Science Fiction,David Ayer
2698,Evan Almighty,father son relationship daily life married couple support father,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Fantasy Comedy Family,Tom Shadyac
137113,Edge of Tomorrow,deja vu time warp restart dystopia war,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Action Science Fiction,Doug Liman
9804,Waterworld,ocean tattoo mutant water dystopia,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Adventure Action,Kevin Reynolds
14869,G.I. Joe: The Rise of Cobra,terrorist secret hostage technology warhead,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Adventure Action Thriller Science Fiction,Stephen Sommers
150540,Inside Out,dream cartoon imaginary friend animation family,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Drama Comedy Animation Family,Pete Docter
278927,The Jungle Book,based on novel snake wolf elephant tiger,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Family Adventure Drama Fantasy,Jon Favreau
10138,Iron Man 2,malibu marvel comic superhero based on comic book revenge,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Adventure Action Science Fiction,Jon Favreau
58595,Snow White and the Huntsman,queen magic fairy tale immortality forest,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Adventure Fantasy Drama,Rupert Sanders
102651,Maleficent,fairy tale villain sleeping beauty dark fantasy based on fairy tale,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Fantasy Adventure Action Family Romance,Robert Stromberg
119450,Dawn of the Planet of the Apes,leader colony post-apocalyptic dystopia forest,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Science Fiction Action Drama Thriller,Matt Reeves
79698,The Lovers,,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Action Adventure Science Fiction Romance,Roland Joff\u00e9
64686,47 Ronin,japan suicide samurai based on true story samurai sword,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Drama Action Adventure Fantasy,Carl Rinsch
100402,Captain America: The Winter Soldier,washington d.c. future shield marvel comic superhero,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Action Adventure Science Fiction,Anthony Russo
10192,Shrek Forever After,ogre 3d,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Comedy Adventure Fantasy Animation Family,Mike Mitchell
158852,Tomorrowland,inventor apocalypse destiny imax dreamer,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Adventure Family Mystery Science Fiction,Brad Bird
177572,Big Hero 6,brother brother relationship hero talent revenge best friend,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Adventure Family Animation Action Comedy,Chris Williams
82690,Wreck-It Ralph,support group product placement bullying racing arcade,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Family Animation Comedy Adventure,Rich Moore
5255,The Polar Express,santa claus nerd faith gift bell,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Adventure Animation Family Fantasy,Robert Zemeckis
47933,Independence Day: Resurgence,alternate history alien invasion,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,Action Adventure Science Fiction,Roland Emmerich
10191,How to Train Your Dragon,flying blacksmith arena island night,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,Fantasy Adventure Animation Family,Chris Sanders
296,Terminator 3: Rise of the Machines,saving the world artificial intelligence man vs machine cyborg killer robot,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,Action Thriller Science Fiction,Jonathan Mostow
118340,Guardians of the Galaxy,marvel comic spaceship space outer space orphan,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,Action Science Fiction Adventure,James Gunn
157336,Interstellar,saving the world artificial intelligence father son relationship single parent nasa,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Adventure Drama Science Fiction,Christopher Nolan
27205,Inception,loss of lover dream kidnapping sleep subconsciousness,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Action Thriller Science Fiction Mystery Adventure,Christopher Nolan
315011,Shin Godzilla,monster godzilla giant monster destruction kaiju,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,Action Adventure Drama Horror Science Fiction,Hideaki Anno
49051,The Hobbit: An Unexpected Journey,riddle elves dwarves orcs middle-earth (tolkien),Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Adventure Fantasy Action,Peter Jackson
9799,The Fast and the Furious,street gang car race undercover auto-tuning los angeles,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,Action Crime Thriller,Rob Cohen
4922,The Curious Case of Benjamin Button,diary navy funeral tea travel,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,Fantasy Drama Thriller Mystery Romance,David Fincher
49538,X-Men: First Class,cia mutant mine marvel comic superhero,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,Action Science Fiction Adventure,Matthew Vaughn
131634,The Hunger Games: Mockingjay - Part 2,revolution strong woman dystopia game of death 3d,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Action Adventure Science Fiction,Francis Lawrence
27022,The Sorcerer's Apprentice,witch fire wolf fountain magic,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,Fantasy Adventure Action Comedy Drama,Jon Turteltaub
503,Poseidon,new year's eve fire drowning cataclysm loss of father,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,Adventure Action Drama Thriller,Wolfgang Petersen
241259,Alice Through the Looking Glass,based on novel clock queen sequel alice in wonderland,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,Fantasy,James Bobin
810,Shrek the Third,ambush sadness stage liberation of prisoners island,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Fantasy Adventure Animation Comedy Family,Chris Miller
68735,Warcraft,video game elves orcs magic chase,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,Action Adventure Fantasy,Duncan Jones
87101,Terminator Genisys,saving the world artificial intelligence cyborg killer robot future,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Science Fiction Action Thriller Adventure,Alan Taylor
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,based on novel magic good vs evil king narnia,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,Adventure Family Fantasy,Michael Apted
676,Pearl Harbor,nurse patriotism hawaii world war ii pilot,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,History Romance War,Michael Bay
1858,Transformers,destroy transformation alien based on toy transformers,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,Adventure Science Fiction Action,Michael Bay
1966,Alexander,aristotle egypt greece persia elephant,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,War History Action Adventure Drama,Oliver Stone
675,Harry Potter and the Order of the Phoenix,prophecy witch loss of lover magic cutting the cord,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,Adventure Fantasy Family Mystery,David Yates
674,Harry Potter and the Goblet of Fire,magic dying and death broom sorcerer's apprentice school of witchcraft,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,Adventure Fantasy Family,Mike Newell
8960,Hancock,flying alcohol love of one's life forbidden love lovers,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,Fantasy Action,Peter Berg
6479,I Am Legend,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,Drama Horror Action Thriller Science Fiction,Francis Lawrence
118,Charlie and the Chocolate Factory,london england father son relationship chocolate factory worker based on novel,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,Adventure Comedy Family Fantasy,Tim Burton
2062,Ratatouille,paris brother brother relationship expensive restaurant river cook,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,Animation Comedy Family Fantasy,Jan Pinkava
272,Batman Begins,himalaya martial arts dc comics crime fighter secret identity,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,Action Crime Drama,Christopher Nolan
10527,Madagascar: Escape 2 Africa,africa jealousy dance hunger lion,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,Family Animation,Eric Darnell
18360,Night at the Museum: Battle of the Smithsonian,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,Adventure Fantasy Action Comedy Family,Shawn Levy
2080,X-Men Origins: Wolverine,corruption mutant boxer army marvel comic,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,Adventure Action Thriller Science Fiction,Gavin Hood
605,The Matrix Revolutions,saving the world artificial intelligence man vs machine flying philosophy,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,Adventure Action Thriller Science Fiction,Lilly Wachowski
109445,Frozen,queen musical princess betrayal snowman,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Animation Adventure Family,Chris Buck
604,The Matrix Reloaded,saving the world artificial intelligence man vs machine martial arts kung fu,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,Adventure Action Thriller Science Fiction,Lilly Wachowski
76338,Thor: The Dark World,marvel comic superhero based on comic book hostile takeover norse mythology,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,Action Adventure Fantasy,Alan Taylor
76341,Mad Max: Fury Road,future chase post-apocalyptic dystopia australia,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,Action Adventure Science Fiction Thriller,George Miller
13448,Angels & Demons,rome vatican based on novel symbolism christian,Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino,Thriller Mystery,Ron Howard
10195,Thor,new mexico banishment shield marvel comic hammer,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,Adventure Fantasy Action,Kenneth Branagh
13053,Bolt,hamster kids and family animal cat vs dog duringcreditsstinger,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell,Animation Family Adventure Comedy,Chris Williams
19585,G-Force,dyr duringcreditsstinger,Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi,Fantasy Action Adventure Family Comedy,Hoyt Yeatman
57165,Wrath of the Titans,underworld hades mythology greek mythology zeus,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell,Adventure,Jonathan Liebesman
62213,Dark Shadows,witch imprisonment vampire curse fish out of water,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,Comedy Fantasy,Tim Burton
177677,Mission: Impossible - Rogue Nation,london england spy austria villain sequel,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,Action Adventure Thriller,Christopher McQuarrie
7978,The Wolfman,father son relationship victorian england remake rural setting werewolf,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes,Drama Horror Thriller,Joe Johnston
5559,Bee Movie,factory worker tennis flower florist flower shop,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,Family Animation Adventure Comedy,Steve Hickner
49444,Kung Fu Panda 2,martial arts hope fleet panda mission,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan,Animation Family,Jennifer Yuh Nelson
10196,The Last Airbender,fire ice war ship prince kingdom,Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub,Action Adventure Family Fantasy,M. Night Shyamalan
956,Mission: Impossible III,berlin cia vatican white house secret identity,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers,Adventure Action Thriller,J.J. Abrams
117251,White House Down,usa president conspiracy secret service the white house,Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins,Action Drama Thriller,Roland Emmerich
50321,Mars Needs Moms,boy alien rescue martian alien abduction,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois,Adventure Animation Family,Simon Wells
11619,Flushed Away,london england underworld return ship frog,Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy,Adventure Animation Comedy Family,David Bowers
266647,Pan,flying magic fairy tale peter pan mermaid,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Adventure Family Fantasy,Joe Wright
82703,Mr. Peabody & Sherman,father son relationship egypt intelligence adoption time travel,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper,Animation Adventure Family,Rob Minkoff
652,Troy,brother brother relationship adultery mythology beauty trojan war,Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean,Adventure Drama War,Wolfgang Petersen
80321,Madagascar 3: Europe's Most Wanted,madagascar 3d,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock,Animation Family,Conrad Vernon
36669,Die Another Day,laser british secret service secret service agent space based weapon,Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens,Adventure Action Thriller,Lee Tamahori
43074,Ghostbusters,female friendship ghost hunting reboot ghost,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,Action Fantasy Comedy,Paul Feig
95,Armageddon,saving the world paris moon cataclysm asteroid,Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler Will Patton,Action Thriller Science Fiction Adventure,Michael Bay
608,Men in Black II,saving the world secret identity sun glasses undercover space marine,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville,Action Adventure Comedy Science Fiction,Barry Sonnenfeld
2310,Beowulf,denmark nordic mythology lie pride and vanity folk hero,Ray Winstone Angelina Jolie Anthony Hopkins Robin Wright John Malkovich,Adventure Action Animation,Robert Zemeckis
